Código EOL UE,Nome UE,Código EOL DRE,Nome da DRE UE,Sigla DRE,Nome da associação,CNPJ da associação,RF Presidente Diretoria,Nome Presidente Diretoria,RF Presidente Conselho Fiscal,Nome Presidente Conselho Fisca
000086,EMEI PAULO CAMILHIER FLORENCANO,108500,GUAIANASES,G,EMEI PAULO CAMILHIER FLORENÇANO,1142145000190,,,,
000094,EMEI VICENTE PAULO DA SILVA,108400,FREGUESIA/BRASILANDIA,FO,EMEI VICENTE PAULO DA SILVA,61390860000173,,,,
000108,"EMEF JOSE ERMIRIO DE MORAIS, SEN.",109300,SAO MIGUEL,MP,EMEF SEN JOSÉ ERMINIO DE MORAIS,1095757000179,,,,
000191,"EMEF ALIPIO CORREA NETO, PROF.",108100,BUTANTA,BT,EMEF PROF. ALÍPIO CORREA NETO,60731387000188,,,,
000205,"EMEBS VERA LUCIA APARECIDA RIBEIRO, PROFA.",109000,PIRITUBA,PJ,EMEBS PROFª VERA LUCIA AP RIBEIRO,59951152000112,,,,
000213,"EMEI ANTONIO CARLOS PACHECO E SILVA, PROF.",108100,BUTANTA,BT,EMEI PROF. ANTONIO CARLOS PACHECO E SILVA,62022249000155,,,,
000221,EMEI NAIR CORREA BUARQUE,108400,FREGUESIA/BRASILANDIA,FO,EMEI NAIR CORREA BUARQUE,59933630000161,,,,
000230,"EMEI MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.",108800,JACANA/TREMEMBE,JT,EMEI DNA MARIA YOLANDA DE SOUZA PINTO HAHNE,67973859000158,,,,
000248,"EMEI WALFRIDO DE CARVALHO, CEL.",108800,JACANA/TREMEMBE,JT,EMEI CORONEL WALFRIDO DE CARVALHO,1140338000101,,,,
000256,"EMEI WILMA ALVARENGA DE OLIVEIRA, PROFA.",108200,CAMPO LIMPO,CL,"EMEI - WILMA ALVARENGA DE OLIVEIRA, PROFª",61582805000185,,,,
000264,"EMEF SYLVIO HECK, ALM.",109100,SANTO AMARO,SA,"EMEF SYLVIO HECK, ALM.",163388000141,,,,
000281,"EMEF VERA LUCIA FUSCO BORBA, PROFA.",108200,CAMPO LIMPO,CL,"EMEF - VERA LUCIA FUSCO BORBA, PROFª",61573507000129,,,,
000299,"EMEF ROBERTO PATRICIO, PROF.",108400,FREGUESIA/BRASILANDIA,FO,EMEF ROBERTO PATRICIO,61570990000198,,,,
000302,"EMEF HELIO FRANCO CHAVES, CEL.",108800,JACANA/TREMEMBE,JT,EMEF CEL HELIO FRANCO CHAVES,60737467000140,,,,
000311,"EMEF ANTONIO ALVES DA SILVA, SG.",108200,CAMPO LIMPO,CL,"EMEF - ANTONIO ALVES DA SILVA, SG.",62279633000138,,,,
000329,"EMEBS NEUSA BASSETTO, PROFA.",108900,PENHA,PE,EMEBS PROFª NEUSA BASSETTO,61056321000100,,,,
000337,"EMEBS LUCIE BRAY, ME",108800,JACANA/TREMEMBE,JT,EMEBS MADRE LUCIE BRAY,62569918000103,,,,
000388,EMEI RAUL JOVIANO DO AMARAL,109100,SANTO AMARO,SA,EMEI RAUL JOVIANO DO AMARAL,61582938000151,,,,
000418,"EMEF JOAO DE SOUZA FERRAZ, PROF.",109100,SANTO AMARO,SA,"EMEF JOÃO DE SOUZA FERRAZ, PROF.",65503724000101,,,,
000426,"EMEI CELIA CAMARGO PENTEADO ELIAS, PROFA.",109200,SAO MATEUS,SM,EMEI PROFA CELIA CAMARGO PENTEADO ELIAS ,64617376000122,,,,
000434,"EMEI CLEMENTE SEGUNDO PINHO, PROF.",109000,PIRITUBA,PJ,EMEI CLEMENTE SEGUNDO PINHO,61604310000100,,,,
000442,"EMEI ANTONIO RUBBO MULLER, PROF.",108600,IPIRANGA,IP,EMEI PROFESSOR ANTONIO RUBBO MULLER,68479021000175,,,,
000451,"EMEI MARIA DO CARMO GODOY RAMOS, PROFA.",109000,PIRITUBA,PJ,"EMEI Mª DO CARMO GODOY RAMOS ,PROFª",61604195000173,,,,
000469,EMEI RODOLFO TREVISAN,109000,PIRITUBA,PJ,EMEI RODOLFO TREVISAN,65520298000106,,,,
000477,"EMEF EDA TEREZINHA CHICA MEDEIROS, PROFA.",108100,BUTANTA,BT,EMEF PROFª EDA TEREZINHA CHICA MEDEIROS,61370102000193,,,,
000485,EMEF ASSAD ABDALA,108900,PENHA,PE,EMEF ASSAD ABDALA,61381745000132,,,,
000493,EMEI AURELIO BUARQUE DE HOLANDA FERREIRA,108300,CAPELA DO SOCORRO,CS,EMEI AURELIO BUARQUE DE HOLANDA FERREIRA,68156165000190,,,,
000531,EMEI MARIA EUGENIA FAKHOURY,108300,CAPELA DO SOCORRO,CS,EMEI MARIA EUGÊNIA FAKHOURY,61573556000161,,,,
000540,EMEF RAUL POMPEIA,109000,PIRITUBA,PJ,EMEF RAUL POMPÉIA,61058947000148,,,,
000558,EMEI SENA MADUREIRA,108600,IPIRANGA,IP,EMEI SENA MADUREIRA,68151000000126,,,,
000566,EMEF TERESA MARGARIDA DA SILVA E ORTA,108200,CAMPO LIMPO,CL,EMEF - TERESA MARGARIDA DA SILVA E ORTA,61581831000199,,,,
000574,"EMEI ORLANDO DE ALVARENGA GAUDIO, PROF.",108200,CAMPO LIMPO,CL,"EMEI - ORLANDO DE ALVARENGA GAUDIO, PROF.",68156538000123,,,,
000892,EMEF HENRIQUE SOUZA FILHO - HENFIL,109200,SAO MATEUS,SM,EMEF HENRIQUE SOUZA FILHO - HENFIL ,1362012000129,,,,
008834,"EMEF IDEMIA DE GODOY, PROFA.",108500,GUAIANASES,G,"IDEMIA DE GODOY, PROFª",73310534000198,,,,
008842,"EMEF SEBASTIAO FRANCISCO, O NEGRO",108700,ITAQUERA,IQ,EMEF SEBASTIÃO FCO O NEGRO,1446852000170,,,,
009130,EMEI OLGA BENARIO PRESTES,108500,GUAIANASES,G,EMEI OLGA BENÁRIO PRESTES,68479880000164,,,,
009148,EMEF ALEXANDRE VANNUCHI LEME,108500,GUAIANASES,G,EMEF ALEXANDRE VANNUCCHI LEME,1148799000120,,,,
009156,"EMEF LUIS CARLOS PRESTES, SEN.",108500,GUAIANASES,G,"EMEF LUIS CARLOS PRESTES, SENADOR",1221036000168,,,,
009270,EMEI DINA KUTNER DE SOUZA - DINA SFAT,108800,JACANA/TREMEMBE,JT,EMEI DINA KUTNER DE SOUZA - DINA SFAT,1171377000176,,,,
009326,"EMEF IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.",109000,PIRITUBA,PJ,EMEF PROFESSORA DOUTORA IRENE GARCIA COSTA DE SOUZA,66064189000194,,,,
009911,EMEI SAVA POPOVIC,108800,JACANA/TREMEMBE,JT,EMEI SAVA POPOVIC,163032000108,,,,
009971,EMEF LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA,108600,IPIRANGA,IP,EMEF LUIZ GONZAGA DO NASCIMENTO JR.,71731418000117,,,,
009989,EMEI OTAVIO JOSE DA SILVA JUNIOR,108600,IPIRANGA,IP,EMEI OTAVIO JOSE DA SILVA JUNIOR,869258000129,,,,
010049,"EMEF CHICO FALCONI, PE.",109300,SAO MIGUEL,MP,EMEF PE. CHICO FALCONI,86705266000155,,,,
010103,EMEF FRANCISCO ALVES MENDES FILHO - CHICO MENDES,108700,ITAQUERA,IQ,EMEF FRANCISCO A. M. FILHO ,67134197000122,,,,
010111,"EMEF MARIO SCHONBERG, PROF.",109100,SANTO AMARO,SA,"EMEF MARIO SCHONBERG, PROF.",66860446000102,,,,
010120,EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA,109100,SANTO AMARO,SA,EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA,326018000188,,,,
010138,"EMEF ELZA MAIA COSTA FREIRE, PROFA.",109100,SANTO AMARO,SA,"EMEF ELZA MAIA COSTA FREIRE, PROFA.",1131156000174,,,,
010146,EMEF MARIA RITA LOPES PONTES - IRMA DULCE,108200,CAMPO LIMPO,CL,EMEF - MARIA RITA LOPES PONTES - IRMA DULCE,68158112000109,,,,
010154,EMEF MAURO FACCIO GONCALVES - ZACARIA,108200,CAMPO LIMPO,CL,EMEF - MAURO FACCIO GONCALVES - ZACARIA,68158880000162,,,,
010162,"EMEF LORENCO MANOEL SPARAPAN, PROF.",108200,CAMPO LIMPO,CL,"EMEF - LORENCO MANOEL SPARAPAN, PROF.",68158906000172,,,,
010171,"EMEF ALDO RIBEIRO LUZ, PROF.",109000,PIRITUBA,PJ,EMEF PROF. ALDO RIBEIRO LUZ,65524548000186,,,,
010405,"EMEF NILDO DO AMARAL JUNIOR, PE.",109300,SAO MIGUEL,MP,EMEF PE. NILDO DO AMARAL JUNIOR,73934747000190,,,,
