Aplicação do recurso,Especificação do material ou serviço
Custeio: material,Material de expediente
Custeio: material,"Material de higiene, limpeza e primeiros socorros"
Custeio: material,Material de informática
Custeio: material,Material eletro/eletrônico
Custeio: material,Material para conservação de equipamento e mobiliário
Custeio: material,Material para conservação predial - Alvenaria
Custeio: material,Material para conservação predial - Carpintaria
Custeio: material,Material para conservação predial - Elétrica
Custeio: material,Material para conservação predial - Estruturais
Custeio: material,Material para conservação predial - Hidráulica
Custeio: material,Material para conservação predial - Jardinagem/horta
Custeio: material,Material para conservação predial - Marcenaria
Custeio: material,Material para conservação predial - Pintura
Custeio: material,Material pedagógico
Custeio: tributos e tarifas,Imposto de Renda Retido na Fonte - IRRF
Custeio: tributos e tarifas,Imposto Sobre Serviço de Qualquer Natureza - ISS
Custeio: tributos e tarifas,Instituto Nacional de Seguridade Social - INSS
Custeio: tributos e tarifas,PIS/COFINS/CSLL na Fonte
Custeio: tributos e tarifas,Tarifa bancária: adicional de cheque
Custeio: tributos e tarifas,Tarifa bancária: devolução de cheque
Custeio: tributos e tarifas,Tarifa bancária: extrato excedente
Custeio: tributos e tarifas,Tarifa bancária: fornecimento de cheque
Custeio: tributos e tarifas,Tarifa bancária: manutenção da conta ativa
Custeio: tributos e tarifas,Tarifa bancária: microfilme do cheque
Custeio: tributos e tarifas,Tarifa bancária: pacote de serviços
Custeio: tributos e tarifas,Tarifa bancária: processamento de cheque
Custeio: tributos e tarifas,Tarifa bancária: renovação de cadastro
Custeio: tributos e tarifas,Taxa de Fiscalização de Estabelecimentos (TFE)
Custeio: serviço,Afinação de instrumentos musicais
Custeio: serviço,"Alfaiataria, costura e congêneres"
Custeio: serviço,"Apresentação de palestras, conferências, seminários e congêneres"
Custeio: serviço,"Apresentação teatral, circence, musical, cultural"
Custeio: serviço,Arbitragem
Custeio: serviço,"Artes gráficas, tipografia, diagramação, paginação e gravação"
Custeio: serviço,"Assessoria, consultoria, formação"
Custeio: serviço,Calafetação
Custeio: serviço,Carga e recarga de extintores de incêndio
Custeio: serviço,Certificado Digital
Custeio: serviço,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário"
Custeio: serviço,Coleta e remoção de entulho
Custeio: serviço,Colocação de molduras e congêneres
Custeio: serviço,"Colocação e instalação de carpetes, assoalhos, cortinas, revestimento de parede"
Custeio: serviço,"Colocação e instalação de toldos, telas de proteção"
Custeio: serviço,"Colocação e instalação de vidros, divisórias, placas de gesso e congêneres"
Custeio: serviço,"Colocação, troca e remoção de areia do parque"
Custeio: serviço,Confecção de carimbos
Custeio: serviço,"Confecção de placas, sinalização visual, banners, adesivos e congêneres"
Custeio: serviço,"Conserto, restauração, manutenção e conservação de máquinas, aparelhos, equipamentos, motores, elevadores"
Custeio: serviço,Contabilidade
Custeio: serviço,Corte de mato
Custeio: serviço,"Dedetização, desinfecção, desinsetização, higienização, desratização e congêneres"
Custeio: serviço,Desentupimento de fossas e ramal de esgoto
Custeio: serviço,"Encadernação, gravação de livros e revistas"
Custeio: serviço,"Instalação e montagem de aparelhos, máquinas e equipamentos"
Custeio: serviço,"Instalação, reparos em alambrados"
Custeio: serviço,"Instrução, treinamento, orientação pedagógica e educacional"
Custeio: serviço,Jardinagem
Custeio: serviço,Limpeza de caixa de água
Custeio: serviço,Limpeza de caixa de gordura
Custeio: serviço,Limpeza de canaletas e calhas
Custeio: serviço,Locação de brinquedos infláveis
Custeio: serviço,Locação de caçamba
Custeio: serviço,Locação de ônibus
Custeio: serviço,"Lubrificação, limpeza, revisão de máquinas, aparelhos, motores, elevadores e afins"
Custeio: serviço,Organização de passeios e excursões
Custeio: serviço,"Pintura artística, pedagógica"
Custeio: serviço,Poda de grama e/ou de árvore
Custeio: serviço,Recreação e animação
Custeio: serviço,"Recuperação, raspagem, polimento, impermeabilização e lustração de pisos e congêneres"
Custeio: serviço,Reparos de alvenaria
Custeio: serviço,Reparos de elétrica
Custeio: serviço,Reparos de hidráulica
Custeio: serviço,Reparos de pintura
Custeio: serviço,Reparos em hidrantes e pára-raios
Custeio: serviço,Reparos em lousa fixa
Custeio: serviço,"Reprografia, microfilmagem e digitalização"
Custeio: serviço,Ressarcimento de despesa de oficineiro
Custeio: serviço,"Revelação, ampliação, cópia e reprodução de fotos"
Custeio: serviço,"Serviços de artistas, atletas, modelos e manequins"
Custeio: serviço,Serviços de carpintaria
Custeio: serviço,Serviços de chaveiro
Custeio: serviço,"Serviços de cobertura - telhas, cumeeiras, instalação, reparos e remoção de calhas"
Custeio: serviço,Serviços de correio
Custeio: serviço,Serviços de marcenaria
Custeio: serviço,"Serviços de registros públicos, cartoriais e notariais"
Custeio: serviço,Serviços de serralheria
Custeio: serviço,Tapeçaria e reforma de estofados em geral
Custeio: serviço,Tinturaria e lavanderia
Capital,Acess point
Capital,Afastador anal
Capital,Afoxê
Capital,Agitador
Capital,Agogo
Capital,Amassadeira espiral
Capital,Amnioscópio
Capital,Amperímetro
Capital,Amplificador
Capital,Amplificador para fones de ouvido
Capital,Analisador bioquimico
Capital,Analisador de distribuidor de motor a explosao
Capital,Analisador de espectro
Capital,Analisador de motores
Capital,Analisador de ph
Capital,Analisador de voltagem
Capital,Analisador e extrator de material genético
Capital,Analizador de hematologia
Capital,Analizador de pressao
Capital,Analizador de radiadores
Capital,Analizador dsp
Capital,Analizador para monitorização de óxido nítrico e dióxido de nitrogênio
Capital,Analog delay
Capital,Anatomic anne
Capital,Andaime
Capital,Anigoscopio
Capital,Anilha olimpica emborrachada
