"Aplicação do recurso","Especificação do material ou serviço","",""
"Custeio: material","Material pedagógico","",""
"Custeio: material","Material de expediente","",""
"Custeio: material","Material de higiene, limpeza e primeiros socorros","",""
"Custeio: material","Material para conservação predial","",""
"Custeio: material","Material para conservação de equipamento e mobiliário","",""
"Custeio: material","Outros [Campo aberto para digitação)","",""
"Custeio: tributos e tarifas","Instituto Nacional de Seguridade Social - INSS","",""
"Custeio: tributos e tarifas","Imposto de Renda Retido na Fonte - IRRF","",""
"Custeio: tributos e tarifas","PIS/COFINS/CSLL na Fonte","",""
"Custeio: tributos e tarifas","Imposto Sobre Serviço de Qualquer Natureza - ISS","",""
"Custeio: tributos e tarifas","Taxa de Fiscalização de Estabelecimentos (TFE)","",""
"Custeio: tributos e tarifas","Tarifa bancária: manutenção da conta ativa","",""
"Custeio: tributos e tarifas","Tarifa bancária: renovação de cadastro","",""
"Custeio: tributos e tarifas","Tarifa bancária: processamento de cheque","",""
"Custeio: tributos e tarifas","Tarifa bancária: fornecimento de cheque","",""
"Custeio: tributos e tarifas","Tarifa bancária: devolução de cheque","",""
"Custeio: tributos e tarifas","Tarifa bancária: microfilme do cheque","",""
"Custeio: tributos e tarifas","Tarifa bancária: extrato excedente","",""
"Custeio: tributos e tarifas","Outros [Campo aberto para digitação)","",""
"Custeio: serviço","Hidraulica","",""
"Custeio: serviço","Elétrica","",""
"Custeio: serviço","Pintura","",""
"Custeio: serviço","Alvenaria","",""
"Custeio: serviço","Carpintaria e serralheria","",""
"Custeio: serviço","Marcenaria","",""
"Custeio: serviço","Jardinagem","",""
"Custeio: serviço","Paisagismo","",""
"Custeio: serviço","Colocação e instalação de assoalhos, cortinas, revestimentos","",""
"Custeio: serviço","Recuperação, raspagem, polimento e lustração de pisos e congêneres","",""
"Custeio: serviço","Calafetação","",""
"Custeio: serviço","Limpeza de caixa d'água","",""
"Custeio: serviço","Corte de mato","",""
"Custeio: serviço","Poda de árvore","",""
"Custeio: serviço","Limpeza de calha","",""
"Custeio: serviço","Decoração","",""
"Custeio: serviço","Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.","",""
"Custeio: serviço","Transporte por ônibus","",""
"Custeio: serviço","Serviços de informática","",""
"Custeio: serviço","Contabilidade","",""
"Custeio: serviço","Apresentação de palestras, conferências, seminários e congêneres.","",""
"Custeio: serviço","Serviços de registros públicos, cartorários e notariais, autenticação de documentos e reconhecimento de firmas","",""
"Custeio: serviço","Serviços de biblioteconomia.","",""
"Custeio: serviço","Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.","",""
"Custeio: serviço","Outros serviços de instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.","",""
"Custeio: serviço","Produção de eventos","",""
"Custeio: serviço","Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.","",""
"Custeio: serviço","Fotografia e cinematografia, inclusive revelação, ampliação, cópia, retocagem, reprodução, trucagem e congêneres","",""
"Custeio: serviço","Reprografia, microfilmagem e digitalização.","",""
"Custeio: serviço","Colocação de molduras e congêneres.","",""
"Custeio: serviço","Encadernação, gravação e douração de livros, revistas e congêneres.","",""
"Custeio: serviço","Artes gráficas, tipografia, diagramação, paginação e gravação.","",""
"Custeio: serviço","Composição gráfica, inclusive composição de impressos gráficos, fotocomposição, clicheria, zincografia, litografia, fotolitografia, estereotipia, serigrafia e outras matrizes de impressão","",""
"Custeio: serviço","Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.","",""
"Custeio: serviço","Recreação e animação, inclusive em festas e eventos de qualquer natureza.","",""
"Custeio: serviço","Instalação e montagem de aparelhos, máquinas e equipamentos, prestados ao usuário final","",""
"Custeio: serviço","Lustração de bens móveis.","",""
"Custeio: serviço","Lubrificação, limpeza, revisão de máquinas, aparelhos, equipamentos, motores, elevadores e objetos de qualquer natureza","",""
"Custeio: serviço","Carga e recarga de aparelhos, equipamentos e objetos de quaisquer natureza.","",""
"Custeio: serviço","Conserto, restauração, manutenção e conservação de máquinas, aparelhos, equipamentos, motores, elevadores ou de quaisquer outros objetos","",""
"Custeio: serviço","Afiador de utensílios domésticos e afinador de instrumentos musicais","",""
"Custeio: serviço","Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação, costura, acabamento, e congêneres, de objetos quaisquer.","",""
"Custeio: serviço","Alfaiataria, costura e congêneres, quando o material for fornecido pelo usuário final, exceto aviamento.","",""
"Custeio: serviço","Tinturaria e lavanderia.","",""
"Custeio: serviço","Tapeçaria e reforma de estofamentos em geral.","",""
"Custeio: serviço","Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.","",""
"Custeio: serviço","Espetáculos teatrais e espetáculos circenses, óperas, ballet, danças, concertos, recitais e congêneres","",""
"Custeio: serviço","Artista circense e músico","",""
"Custeio: serviço","Serviços de artistas, atletas, modelos e manequins.","",""
"Custeio: serviço","Artistas, atletas, modelos e manequins","",""
"Custeio: serviço","Outros [Campo aberto para digitação)","",""
"Capital"," Amplificador para fones de ouvido","",""
"Capital"," Analisador bioquimico","",""
"Capital"," Analisador de distribuidor de motor a explosao","",""
"Capital"," Analisador de espectro","",""
"Capital"," Analisador de motores","",""
"Capital"," Analisador de ph","",""
"Capital"," Analisador de voltagem","",""
"Capital"," Analizador de hematologia","",""
"Capital"," Analizador de pressao","",""
"Capital"," Analizador de radiadores","",""
"Capital"," Analizador dsp","",""
"Capital"," Analog delay","",""
"Capital"," Anatomic anne","",""
"Capital"," Andador","",""
"Capital"," Andaime","",""
"Capital"," Anigoscopio","",""
"Capital"," Anodizador ","",""
"Capital"," Antena parabolica","",""
"Capital"," Anuscopio de pitanga","",""
"Capital"," Aparador","",""
"Capital"," Aparador de cerca viva","",""
"Capital"," Aparelho autonomo de respiracao de ar comprimido","",""
"Capital"," Aparelho brunidor std","",""
"Capital"," Aparelho carrocel twister","",""
"Capital"," Aparelho celular","",""
"Capital"," Aparelho de acuidade visual","",""
"Capital"," Aparelho de aerosselterapia","",""
"Capital"," Aparelho de anestesia","",""
"Capital"," Aparelho de ar condicionado","",""
"Capital"," Aparelho de ar condicionado condensadora","",""
"Capital"," Aparelho de ar condicionado condensadora central","",""
"Capital"," Aparelho de ar condicionado evaporadora","",""
"Capital"," Aparelho de bioimpedancia","",""
"Capital"," Aparelho de cardiotocografo","",""
"Capital"," Aparelho de depilacao","",""
"Capital"," Aparelho de diatermia","",""
